bookID,average_rating,language_code,num_pages,ratings_count,text_reviews_count
155,4.05,eng,803,9564,726
156,4.05,eng,752,474,72
157,4.05,eng,803,303,48
159,2.99,eng,360,411,65
160,4.19,eng,128,1204,33
162,3.71,eng,160,3429,279
163,3.95,eng,367,2163,216
164,3.89,eng,256,613,31
165,3.82,eng,320,308,40
166,4.2,eng,100,10,0
168,3.65,eng,224,16,4
171,3.4,eng,216,10,0
177,4.0,eng,48,17,0
180,4.01,eng,360,1035,23
181,4.0,eng,250,36,6
182,3.6,eng,32,15,0
201,4.0,spa,205,6,1
204,4.12,eng,367,376,17
205,4.11,eng,352,3086,237
207,3.94,eng,320,352,44
208,3.6,eng,331,9852,633
213,3.9,eng,244,821,78
214,4.05,eng,215,731,72
216,3.94,eng,191,2897,178
230,3.89,eng,144,98,11
231,3.42,eng,738,20888,1688
237,3.91,eng,48,66,19
244,4.02,eng,287,81,6
245,4.22,eng,217,981,52
247,3.69,eng,154,3381,141
250,3.78,eng,348,14872,459
251,4.1,eng,316,3261,58
252,3.98,eng,506,7805,251
253,3.83,eng,292,2699,142
264,3.78,eng,797,61640,1951
269,3.78,eng,635,392,41
277,3.75,eng,91,778,44
278,3.85,eng,192,963,65
280,3.66,eng,181,2057,128
285,3.68,eng,178,203,8
288,4.21,eng,464,35,2
289,4.19,eng,102,328,16
290,3.98,eng,216,1308,82
291,3.92,eng,132,6432,517
292,4.08,eng,100,3015,217
296,3.83,eng,213,420,42
297,3.83,eng,245,5967,276
298,3.83,eng,64,104,14
299,3.83,eng,272,56,4
302,4.05,eng,232,91,16
313,4.61,eng,270,88,4
324,4.07,spa,448,63,7
330,4.04,eng,64,2815,164
332,3.6,eng,256,95,13
333,3.44,eng,147,217,24
337,4.02,spa,239,4136,255
348,4.01,eng,304,17232,649
354,3.87,eng,434,10293,193
355,3.78,eng,439,15970,438
356,3.97,eng,256,6898,200
357,4.06,eng,307,67803,1401
359,3.93,eng,298,22091,746
362,4.14,eng,368,2623,49
367,3.6,eng,256,885,84
377,3.93,eng,336,5,0
382,4.13,eng,72,100,13
385,3.57,eng,67,9358,995
386,3.78,eng,347,9318,907
394,4.14,eng,317,120,15
397,4.53,eng,32,5239,76
399,3.92,eng,827,1505,175
400,3.99,eng,480,11857,564
403,3.43,eng,377,393,55
404,3.43,eng,256,1356,72
406,3.22,eng,224,460,41
407,3.48,eng,272,2492,145
408,3.64,eng,339,3100,212
410,3.96,eng,547,1415,177
411,3.69,eng,152,2161,230
412,4.01,eng,784,762,213
413,4.07,eng,773,8086,602
414,3.69,eng,385,702,69
415,4.01,eng,776,29764,2164
416,3.5,eng,193,334,34
418,3.8,eng,352,2473,220
420,3.89,eng,227,2656,336
421,4.17,eng,222,11889,738
422,3.8,eng,272,2962,255
423,3.86,eng,240,2842,292
424,4.21,eng,238,26934,1825
425,3.81,eng,234,2070,169
428,3.87,eng,231,23656,1706
431,3.89,eng,308,43200,1873
432,3.79,eng,203,12410,734
434,3.64,eng,96,3672,195
435,3.89,eng,179,2998,164
444,3.89,eng,256,74,2
446,3.84,eng,306,17977,1157
447,3.94,eng,320,16099,503
453,3.9,eng,217,361,36
454,3.23,eng,145,6688,562
456,3.96,eng,275,11744,443
463,3.77,eng,104,2390,120
476,3.4,eng,211,213,26
477,4.15,eng,262,719,86
478,3.8,eng,544,4762,512
481,3.91,eng,272,62,4
484,4.39,eng,576,278,20
493,4.01,eng,88,2862,262
494,3.78,eng,542,2829,334
497,3.93,eng,144,105,5
498,4.13,eng,100,102,2
511,3.77,eng,249,478,12
515,4.03,eng,828,1577,49
523,3.95,eng,112,73,8
524,3.68,eng,6,408,96
531,4.11,eng,397,1693,100
534,4.14,eng,216,1,0
537,3.81,eng,328,6485,966
538,3.81,eng,532,367,73
539,3.8,eng,224,1371,43
565,3.98,eng,296,793,28
570,3.8,eng,456,549,42
576,3.85,mul,575,288,31
597,3.81,eng,245,26381,1109
619,3.51,eng,419,474,19
639,4.08,eng,32,1773,274
642,3.72,eng,408,286,10
643,3.85,eng,222,40,2
650,3.93,eng,191,27,0
655,4.11,eng,304,7300,266
658,4.13,eng,352,2403,210
663,3.68,eng,224,2750,108
664,3.87,eng,752,1886,229
665,3.51,eng,176,11462,467
668,3.91,eng,464,23199,1086
669,3.88,eng,340,3501,153
670,3.96,eng,681,18,2
672,3.95,eng,416,150,7
675,3.88,eng,368,646,83
676,4.23,eng,192,12180,630
678,3.62,eng,286,51,5
681,3.09,eng,571,1601,284
685,3.63,eng,231,8854,672
698,3.55,eng,277,17155,1841
700,3.77,eng,826,44,3
702,3.59,eng,528,234,11
707,3.59,eng,164,8703,417
759,4.19,eng,352,6375,179
762,3.97,spa,118,7888,411
763,4.07,spa,496,130,5
764,3.98,spa,176,4508,278
765,3.99,eng,533,397,47
766,3.6,spa,112,5856,377
771,4.07,eng,425,32569,1058
775,4.29,eng,288,37,6
787,3.75,eng,363,1,0
793,3.83,eng,128,11,0
797,4.03,spa,480,0,0
799,0.0,eng,295,0,0
815,3.88,eng,287,6870,237
821,4.1,fre,418,5,0
822,4.26,eng,815,19320,565
823,3.93,eng,927,30872,1735
824,3.61,eng,448,2465,137
826,3.25,eng,308,4657,223
828,3.68,eng,640,4731,270
829,4.2,eng,464,1567,65
834,4.16,eng,450,1474,30
835,4.24,eng,381,1929,72
840,4.17,eng,240,18602,1379
841,3.95,eng,272,3702,149
842,4.17,eng,257,265,31
848,4.27,eng,259,51,7
864,3.86,eng,192,920,76
866,4.57,eng,192,9013,153
868,4.56,eng,192,16666,299
869,4.57,eng,192,11451,161
870,4.5,eng,192,111091,1427
871,4.55,eng,200,10752,294
872,3.86,eng,198,251,32
873,4.52,eng,192,14923,419
880,3.82,eng,274,26922,1726
888,3.6,eng,360,1156,68
900,3.74,eng,464,20529,1592
903,3.83,eng,215,30231,1130
931,4.11,eng,497,2122,256
932,4.08,eng,144,145,8
933,4.11,eng,497,4189,462
935,3.93,eng,334,1556,158
941,3.44,eng,58,9,2
944,3.41,eng,95,59,7
955,4.7,eng,0,22,4
965,3.89,spa,508,196,20
966,3.89,spa,18,65,7
969,3.84,eng,467,1120,105
972,3.84,fre,744,377,16
975,3.71,eng,736,4919,410
977,3.71,eng,585,3353,183
980,3.71,eng,448,61,4
987,4.04,eng,383,456,41
1007,4.18,eng,368,48,9
1014,3.58,eng,256,173,14
1022,3.95,eng,288,253,17
1032,3.66,eng,384,12748,948
1053,4.26,eng,4,86,15
1059,4.21,eng,480,9498,637
1068,4.22,eng,192,1299,30
1073,3.62,eng,284,31,5
1090,3.93,eng,5,26,2
1099,3.74,eng,384,811,77
1117,3.75,eng,320,28,1
1120,3.74,eng,201,3877,275
1121,3.65,eng,288,401,63
1123,3.95,eng,405,814,51
1130,4.13,eng,245,228,16
1138,4.07,eng,432,39,1
1164,3.15,eng,368,26,8
1167,3.99,eng,68,11178,623
1169,3.67,eng,392,3379,67
1171,4.15,eng,256,22843,936
1177,3.31,eng,214,13,1
1188,4.08,eng,64,8,2
1191,3.96,eng,256,14103,74
1192,3.95,eng,256,40125,217
1193,4.09,eng,240,8822,55
1196,4.09,eng,256,3697,34
1197,4.06,eng,304,1426,16
1198,3.92,eng,287,275,15
1204,3.97,spa,250,193,23
1206,3.97,eng,496,98,5
1218,4.27,eng,338,189,25
1226,3.91,eng,401,4318,668
1230,3.91,fre,448,177,26
1234,3.49,eng,400,102,8
1242,3.56,eng,256,43,6
1243,3.41,eng,191,201,24
1246,4.05,eng,458,873,40
1252,4.14,eng,193,5354,281
1255,3.68,eng,542,55,4
1265,3.72,eng,397,1820,147
1276,3.62,eng,368,18,1
1281,3.55,eng,2,43,3
1290,3.76,eng,320,82,13
1296,4.05,eng,468,495,67
1302,0.0,eng,112,0,0
1305,4.42,eng,392,21934,1629
1307,4.07,eng,414,16312,175
1312,3.58,eng,721,146,4
1315,3.96,eng,354,3002,198
1317,3.9,eng,448,3422,157
1318,3.76,eng,400,2138,125
1320,3.78,eng,176,14,2
1322,3.91,eng,340,85,6
1326,4.1,eng,160,226,20
1327,3.92,eng,128,29,6
1328,3.92,eng,176,236,22
1334,4.47,eng,157,14,0
1337,4.5,eng,125,26,4
1338,4.06,eng,272,154,4
1342,4.35,eng,233,18,1
1351,3.85,eng,128,28,7
1354,3.95,eng,208,8186,198
1362,3.99,eng,716,34727,597
1363,3.99,eng,622,227,18
1364,3.99,eng,613,2,0
1365,3.99,eng,772,271,41
1366,3.99,eng,653,143,17
1367,3.99,eng,464,40,5
1368,3.99,eng,816,132,10
1369,3.99,eng,710,36,6
1373,3.86,eng,574,1058,137
1374,3.86,eng,588,692,81
1376,3.86,eng,462,1919,118
1377,3.86,eng,312,158,15
1378,3.86,eng,216,212,18
1382,3.76,eng,515,1713,179
1383,3.76,eng,374,1131,78
1384,3.76,eng,324,2543,167
1387,3.76,eng,304,262,24
1391,4.35,eng,161,69,6
1402,4.22,mul,607,414,10
1403,4.13,eng,136,67,7
1405,3.8,eng,180,259,15
1408,3.94,eng,272,55,0
1423,4.44,eng,137,8159,118
1424,3.64,eng,272,888,92
1425,3.31,eng,212,1204,79
1426,3.7,eng,142,22662,945
1429,3.62,eng,256,1415,68
1433,4.02,eng,148,1658,125
1437,3.69,eng,129,65,6
1438,4.02,eng,240,102,16
1439,4.29,eng,450,489,57
1440,4.32,mul,496,208,7
1441,3.72,eng,172,610,15
1444,4.35,mul,400,38,0
1445,3.9,eng,530,154,21
1449,3.9,eng,554,24,4
1459,4.29,eng,480,35,0
1461,4.5,eng,34,2,0
1462,4.03,eng,221,4483,56
1463,4.21,eng,228,3334,46
1465,4.21,eng,307,560,8
1466,4.4,eng,312,679,85
1467,4.17,eng,432,1464,21
1468,4.0,eng,255,541,15
1470,4.31,eng,264,790,12
1473,4.03,eng,206,9197,120
1474,4.23,mul,432,61,4
1475,3.87,grc,431,201,9
1476,4.14,eng,360,164,8
1479,3.88,eng,160,154,13
1480,3.78,eng,192,9,0
1486,3.63,eng,64,34,4
1488,3.86,eng,128,116,6
1489,4.1,eng,282,158,2
1491,4.26,mul,528,27,5
1494,3.83,eng,142,1950,95
1495,4.47,mul,464,30,4
1499,3.87,eng,116,367,35
1504,4.04,eng,160,23,1
1506,4.2,eng,69,5,0
1509,4.03,mul,528,29,2
1510,4.07,mul,605,25,3
1511,4.03,eng,144,12,1
1515,4.43,eng,672,46,7
1516,4.02,eng,171,712,53
1517,4.1,eng,188,389,26
1518,4.02,eng,304,77,7
1519,4.02,eng,335,28726,591
1521,4.02,eng,224,303,21
1523,4.1,eng,160,4303,62
1525,4.02,eng,208,215,25
1526,4.02,eng,178,12,3
1527,4.1,eng,358,74,7
1529,4.03,eng,95,31,3
1530,4.02,eng,127,63,8
1531,4.1,eng,232,12,2
1532,4.02,eng,151,89,8
1533,4.1,eng,208,1,0
1536,4.14,eng,254,5032,36
1537,3.97,eng,288,553,46
1538,4.27,eng,420,2883,40
1540,3.97,eng,259,45589,726
1542,3.97,eng,430,2979,288
1546,3.97,eng,304,109,7
1547,3.97,eng,223,52,3
1548,4.14,eng,218,135,9
1549,3.94,eng,178,13358,199
1554,3.7,eng,75,141555,1776
1555,3.97,eng,390,8,1
1558,3.7,grc,214,218,1
1559,3.7,eng,144,740,57
1560,4.06,eng,624,6086,79
1561,3.94,eng,256,96,8
1562,4.21,eng,577,1998,33
1563,3.83,eng,336,4,0
1566,3.77,eng,480,1,0
1567,3.95,eng,241,3833,120
1568,3.42,eng,96,23,1
1571,3.75,eng,254,13,2
1572,4.07,grc,624,69,10
1576,3.94,eng,224,391,27
1577,4.03,eng,400,14,2
1579,4.21,grc,608,58,4
1584,2.8,eng,80,5,0
1585,4.07,eng,376,14,3
1586,3.85,eng,98,19,2
1590,3.6,eng,408,262,13
1591,3.85,eng,132,30604,552
1592,3.69,eng,335,42,1
1595,4.33,eng,238,5,2
1620,3.64,eng,372,4067,357
1627,3.94,eng,55,24985,1751
1634,3.46,eng,176,75,12
1642,4.17,spa,144,240,30
1643,4.14,spa,209,331,24
1645,3.76,eng,209,69,12
1646,3.96,spa,218,1279,77
1654,3.76,spa,227,1098,65
1658,2.83,eng,664,0,0
1664,3.5,eng,854,0,0
1667,4.05,spa,159,453,60
1681,3.92,eng,416,142,24
1684,3.92,eng,905,104,16
1685,4.04,eng,144,271,21
1686,4.27,eng,576,1643,97
1693,4.03,eng,191,2335,67
1698,3.92,eng,296,84,8
1702,3.55,eng,176,259,30
1703,3.71,eng,144,236,33
1707,3.94,eng,540,29,3
1709,4.07,eng,302,2488,266
1710,4.07,spa,478,11,0
1713,4.05,eng,559,710,64
1715,4.05,eng,723,48223,764
1718,4.05,eng,624,30,8
1720,4.27,eng,584,229,16
1721,4.32,eng,560,32,3
1722,4.36,eng,524,78,8
1725,4.02,eng,400,98,5
1728,4.12,eng,451,432,14
1729,4.52,eng,499,61,4
1730,4.42,eng,496,813,14
1731,4.08,eng,152,12,0
1744,3.71,eng,222,7,1
1750,4.62,eng,440,12,0
1752,3.64,eng,197,36,5
1761,3.64,eng,208,264,14
1771,4.07,eng,640,14,0
1796,3.86,eng,594,30,2
1800,3.79,eng,345,122,16
1801,4.12,eng,302,32,3
1804,3.4,eng,334,10,1
1805,3.73,eng,212,10,0
1814,3.42,eng,408,1416,217
1815,4.06,eng,336,2799,166
1823,3.95,eng,336,11990,831
1824,3.61,eng,259,10679,899
1839,4.03,eng,518,4356,404
1843,3.87,eng,256,633,60
1846,3.92,eng,256,55106,1503
1849,4.01,eng,519,20909,944
1850,3.78,eng,354,2456,115
1853,4.17,eng,40,4541,378
1856,2.67,eng,196,9,2
1877,4.04,eng,168,15,3
1879,4.04,eng,168,313,27
1883,4.08,eng,304,51,2
1887,4.45,eng,128,4244,99
1888,4.26,eng,333,2399,253
1889,4.26,eng,392,1821,210
1891,4.26,eng,476,1146,166
1893,4.26,eng,392,1628,171
1894,4.0,eng,399,7481,1022
1896,3.71,eng,160,330,40
1902,4.01,eng,288,1910,136
1914,3.68,spa,495,38,0
1925,4.07,eng,342,43,1
1931,3.65,eng,144,273,36
1935,4.07,eng,536,1395,131
1936,4.07,eng,562,462,45
1937,4.07,eng,389,166,9
1947,4.07,eng,327,83,9
1955,3.84,eng,496,131,28
1957,3.84,eng,409,1343,183
1958,4.0,eng,96,10,1
1959,3.84,eng,429,730,88
1960,3.84,eng,432,39,9
1972,4.16,eng,592,9718,216
1976,4.21,eng,416,1432,61
1982,4.3,eng,848,32,2
1984,4.01,eng,887,1235,146
1985,3.99,eng,928,355,17
1987,3.85,eng,416,4873,501
1988,3.82,eng,224,552,81
1990,3.83,eng,830,13212,394
1991,3.71,eng,176,4532,278
1993,4.06,eng,407,59,1
1999,3.84,eng,112,127,10
2002,4.4,eng,240,11515,139
2004,3.58,eng,96,78,9
2005,4.57,eng,768,1213,78
2010,3.66,eng,256,1625,85
2011,3.81,eng,320,6146,150
2015,3.43,eng,192,1485,76
2019,2.67,eng,96,3,1
2022,3.8,eng,88,3,1
2025,3.85,eng,320,76,6
2026,3.75,eng,276,3,0
2028,3.77,eng,124,56,4
2034,5.0,grc,364,0,0
2043,3.86,eng,127,7,1
2048,4.45,eng,1016,241,11
2049,4.08,eng,265,13233,570
2051,4.16,eng,384,4952,162
2054,4.22,eng,379,26389,1619
2056,3.6,eng,448,983,130
2057,3.82,eng,205,214,31
2058,3.97,eng,196,250,12
2059,4.22,eng,2,10,2
2067,3.89,eng,448,10135,330
2068,4.04,eng,588,13563,235
2071,3.83,eng,368,2324,88
2072,3.95,eng,424,573,11
2074,3.82,eng,192,1555,63
2077,3.61,eng,244,21,3
2078,3.92,eng,212,515,37
2081,4.14,eng,512,4786,92
2093,4.17,eng,256,817,63
2094,4.22,eng,176,24035,828
2095,4.15,eng,216,29607,645
2099,4.29,eng,304,1469,22
2100,3.94,eng,224,257,10
2102,4.02,eng,160,674,30
2103,4.09,eng,152,989,40
2104,3.83,eng,188,4774,178
2107,4.31,eng,352,51,5
2109,4.13,eng,859,371,12
2112,3.96,eng,192,429,39
2113,3.94,eng,752,317,14
2123,4.24,eng,624,69,6
2126,3.1,eng,192,31,2
2127,4.23,eng,400,1392,136
2136,3.58,eng,336,4462,446
2137,3.91,eng,342,14769,658
2140,3.93,eng,277,4254,355
2142,4.17,eng,400,13334,502
2144,4.39,eng,112,169,22
2155,4.16,eng,672,2278,69
2157,3.79,eng,128,1442,108
2166,3.77,eng,3,393,77
2167,2.83,eng,80,4,0
2176,3.66,eng,190,9373,606
2178,3.62,eng,230,378,31
2179,3.83,eng,464,105,7
2182,3.69,eng,110,3190,150
2183,3.83,eng,460,13499,388
2186,3.8,eng,632,5,1
2204,3.5,eng,455,20,5
2205,4.14,eng,512,275,28
2209,4.05,eng,288,2622,78
2211,4.17,eng,533,57,0
2218,3.65,eng,432,10,0
2219,3.64,eng,257,37,9
2222,4.0,eng,729,4797,124
2226,4.16,eng,288,144,10
2227,4.07,eng,192,197,7
2228,3.77,eng,664,123,13
2236,3.62,eng,46,55,7
2249,4.1,eng,368,2505,233
2250,4.24,eng,192,1874,114
2253,3.9,eng,384,336,26
2255,4.14,eng,240,39947,1622
2257,4.15,eng,32,156,13
2265,3.72,eng,294,35050,1833
2267,3.67,eng,344,360,26
2281,4.2,eng,320,3993,217
2282,3.89,eng,162,5658,699
2283,3.58,eng,384,585,78
2285,3.74,eng,376,623,68
2287,3.8,eng,232,10635,656
2289,4.07,eng,15,563,133
2296,3.96,eng,288,2769,200
2299,4.07,eng,200,1827,154
2304,4.02,eng,344,48,5
2305,3.89,eng,303,2842,182
2307,4.25,eng,848,55,9
2314,3.95,eng,272,749,62
2315,4.08,eng,231,41,9
2319,3.69,eng,183,40,12
2322,3.93,eng,192,3986,85
2326,3.98,eng,6,58,15
2327,4.15,eng,502,4689,171
2330,3.98,eng,207,4685,74
2333,3.85,eng,127,5526,225
2336,4.05,eng,905,8461,369
2338,3.8,eng,611,2737,161
2343,4.01,eng,671,3920,132
2348,4.1,eng,412,104,7
2353,3.68,eng,320,19,2
2367,3.98,eng,240,3460,482
2368,4.12,eng,445,23064,1191
2370,4.06,eng,752,1852,285
2371,4.11,eng,302,14739,1199
2372,4.2,eng,697,12178,1042
2373,4.19,eng,528,140014,1753
2375,3.27,eng,137,117,19
2378,4.19,spa,640,26,2
2386,3.5,eng,25,67,17
2388,3.71,eng,192,161,16
2389,3.5,eng,6,8858,885
2390,3.5,eng,707,1260,207
2400,3.61,eng,208,50,7
2404,3.82,eng,104,39,5
2407,3.93,eng,156,23,4
2409,3.82,eng,102,6,0
2411,3.33,eng,164,0,0
2412,4.28,eng,400,16,1
2423,3.92,eng,401,2790,159
2430,3.96,eng,451,12534,141
2442,4.22,eng,374,58408,1272
2443,3.86,eng,560,8879,693
2445,3.57,eng,576,38,6
2452,3.0,grc,395,1,1
2473,4.03,eng,434,33,1
2486,3.76,eng,254,259,30
2494,3.89,eng,104,3094,301
2495,3.89,eng,150,372,36
2499,3.59,eng,275,68,6
2501,3.89,eng,123,284,35
2504,4.14,eng,864,875,33
2506,3.93,eng,432,80,11
2508,3.42,eng,414,856,111
2519,4.12,eng,560,1338,113
2520,4.34,eng,120,8228,410
2521,4.15,eng,368,2594,403
2527,4.29,eng,377,799,107
2528,3.89,eng,245,11016,734
2529,3.89,eng,64,3331,242
2530,3.92,eng,346,6184,284
2531,3.84,eng,307,7649,548
2535,3.8,eng,292,308,30
2536,4.02,eng,384,3826,191
2538,3.89,spa,380,1295,106
2539,3.8,spa,461,1744,124
2541,3.84,spa,441,842,69
2542,3.81,eng,314,331,62
2543,4.0,spa,274,2862,306
2545,4.42,eng,902,1432,45
2549,4.03,eng,228,2094,104
2551,3.63,eng,320,488,39
2552,3.63,eng,281,5575,502
2557,4.11,eng,732,2732,105
2560,5.0,eng,83,1,0
2567,3.93,eng,230,1284,90
2581,3.85,eng,165,3832,178
2584,4.0,eng,142,54,4
2586,3.89,eng,272,125,13
2595,4.11,eng,216,942,59
2613,3.98,eng,234,4600,88
2615,3.99,eng,286,32079,752
2619,3.77,eng,512,14228,668
2626,3.77,eng,776,573,38
2646,3.8,eng,364,108,13
2654,4.27,eng,323,10524,898
2655,4.27,eng,11,697,180
2661,4.27,eng,323,271,34
2673,4.02,eng,199,66,4
2677,4.05,eng,64,13562,141
2678,3.79,eng,416,2161,50
2680,4.67,eng,144,3,0
2686,3.59,eng,504,85,12
2687,4.28,eng,1035,25,4
2688,4.63,eng,713,27,3
2692,4.22,eng,958,198,7
2698,3.49,eng,465,257,22
2702,3.8,eng,530,73,5
2705,4.02,eng,456,84,4
2706,3.61,eng,272,70,6
2710,3.49,eng,383,36,5
2713,3.86,eng,611,70,8
2718,4.2,eng,32,1178,173
2719,3.52,eng,261,4411,629
2722,4.13,eng,627,856,105
2723,3.73,eng,763,9344,995
2725,4.29,eng,288,9254,194
2727,4.51,eng,288,39,5
2731,4.5,eng,366,17,2
2735,3.83,eng,404,588,46
2745,3.83,eng,480,1397,128
2749,3.88,eng,371,442,38
2756,3.0,eng,209,2,0
2761,4.16,eng,336,6599,635
2768,4.08,eng,619,39,3
2770,4.0,eng,496,22,0
2778,4.0,eng,232,675,12
2781,4.0,eng,272,206,9
2785,3.92,eng,256,81,12
2802,4.09,eng,337,6368,321
2804,4.1,eng,373,717,112
2810,3.93,eng,303,448,18
2811,3.76,eng,307,3976,163
2814,4.12,eng,320,496,48
2815,4.25,eng,64,367,38
2817,3.98,eng,48,235,4
2819,4.21,eng,246,5236,506
2820,4.04,eng,204,388,23
2821,4.01,eng,320,843,42
2822,3.98,eng,84,32,0
2823,3.98,eng,160,10147,301
2826,4.0,eng,179,9,2
2834,3.79,eng,512,3664,58
2835,3.79,eng,0,3,0
2836,4.0,eng,191,1811,152
2843,5.0,eng,32,4,1
2847,3.76,eng,275,2018,294
2851,4.27,eng,266,99,27
2855,4.25,eng,186,1771,99
2860,3.46,eng,313,38,1
2864,3.88,eng,233,1162,127
2868,3.94,eng,585,29,4
2871,3.36,eng,320,10919,1113
2872,3.58,eng,336,20321,1214
2873,3.66,eng,304,26029,1588
2875,3.58,ger,384,6,1
2877,3.64,eng,80,42,0
2879,4.42,eng,208,19945,76
2880,4.22,eng,200,140403,1063
2881,4.38,eng,208,10356,79
2882,4.36,eng,208,8773,84
2883,4.36,eng,208,8948,86
2885,4.43,jpn,195,227,38
2886,4.39,jpn,204,452,13
2887,4.43,jpn,194,400,11
2893,3.25,eng,187,3,1
2895,4.02,eng,255,1124,191
2896,4.02,ger,321,9674,343
2898,3.57,eng,128,24,3
2899,3.68,eng,77,6254,423
2900,3.84,eng,128,2061,104
2906,4.22,jpn,189,41,3
2907,4.22,fre,192,54,4
2912,3.67,eng,80,114,17
2917,3.93,eng,111,1177,218
2920,4.44,eng,560,557,46
2921,3.92,eng,226,25,2
2923,4.26,eng,272,5437,830
2928,4.01,eng,133,76,12
2933,3.67,eng,286,1507,142
2934,3.67,eng,436,585,63
2937,3.67,eng,482,204,32
2940,3.67,eng,288,311,18
2942,3.72,eng,733,577,36
2949,3.85,eng,389,5,0
2952,3.57,eng,277,242,29
2953,4.06,eng,808,33,3
2958,3.82,eng,368,144,17
2960,3.82,eng,244,687,37
2962,3.82,eng,656,185,18
2965,4.2,eng,64,970,53
2967,3.86,eng,221,513,71
2968,4.28,eng,848,5710,142
2971,4.05,eng,508,2871,209
2978,3.92,eng,241,11892,955
2988,3.96,eng,282,715,44
2997,3.68,eng,361,1817,123
3003,4.13,eng,281,1739,116
3004,4.33,eng,160,1653,76
3006,4.13,eng,288,517,13
3011,3.8,eng,274,23,7
3014,4.3,eng,128,150,23
3023,4.32,eng,448,5899,475
3025,4.32,eng,627,328,43
3040,4.38,eng,372,2579,301
3041,4.14,eng,256,1546,122
3042,4.39,eng,422,766,47
3047,4.31,eng,304,1797,166
3051,3.91,eng,29,65,9
3053,4.45,eng,250,22,0
3055,4.45,eng,576,495,30
3056,4.36,eng,221,213,10
3061,3.9,eng,240,39369,80
3065,4.11,eng,448,580,41
3066,3.96,eng,335,8624,409
3067,4.22,eng,656,712,51
3068,3.89,eng,246,8073,319
3070,4.0,eng,184,4,0
3072,3.65,eng,248,662,50
3075,3.61,eng,73,67,6
3084,3.88,ger,88,0,0
3088,4.1,eng,449,2450,113
3100,3.51,eng,208,6,0
3101,3.48,eng,396,1665,125
3102,3.96,eng,246,54765,1437
3103,4.03,eng,256,21997,1005
3104,4.14,eng,648,141,11
3105,3.96,eng,352,368,26
3107,3.59,eng,384,2699,336
3113,3.97,eng,336,3259,187
3117,4.11,eng,140,1864,117
3119,4.21,eng,151,1928,85
3120,4.19,eng,150,2050,76
3130,4.25,eng,390,8,0
3142,4.33,eng,314,254,35
3144,4.16,eng,194,14,4
3145,4.16,eng,188,8,1
3147,4.33,fre,384,69,10
3152,4.08,eng,191,21,0
3155,4.26,eng,188,112,7
3156,4.09,eng,164,139,6
3167,3.0,eng,144,19,0
3207,4.17,eng,352,114,11
3231,3.74,eng,256,34,5
3232,4.57,grc,528,14,0
3248,3.77,eng,480,100,9
3254,3.89,eng,80,4577,126
3258,4.29,eng,304,327,12
3280,4.11,eng,186,592,49
3283,3.54,eng,176,26,1
3290,3.97,eng,320,430,23
3291,3.97,eng,352,12839,375
3293,3.97,eng,256,10,1
3298,3.77,spa,304,1099,46
3300,3.93,eng,321,15345,1075
3301,4.23,spa,454,608,38
3302,3.72,spa,336,514,33
3303,3.84,spa,432,1189,51
